student_id,gender,department,semester,gpa_band,ds1_gpa,ds1_studytimeweekly,ds1_absences,ds1_tutoring,ds1_parentalsupport,ds1_extracurricular,ds1_sports,ds1_music,ds1_volunteering,ds1_parentaleducation,ds2_study_hours_per_day,ds2_sleep_hours_per_day,ds2_social_hours_per_day,ds2_physical_activity_hours_per_day,ds2_stress_level,ds4_university_gpa,ds4_internships_completed,ds4_projects_completed,ds4_certifications,ds4_soft_skills_score,ds4_networking_score,ds4_job_offers,ds4_starting_salary,ds4_career_satisfaction,ds4_work_life_balance,ds4_current_job_level,ds5_major,ds5_interested_domain,ds5_future_career,ds5_projects,ds5_python,ds5_sql,ds5_java,gender_label,ds5_has_career_data,ds4_gpa_is_synthetic,ds2_study_hours_weekly
STU_00001,0,CSE,4,2,4.6707,3.290507447856248,12,0,1,1,0,1,0,3,5.1,7.1,3.4,5.6,1,2.9,1.0,3.0,1.0,5.9,5.0,1.0,45100.0,6.0,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Female,0,1,35.7
STU_00002,1,IT,8,1,1.4619,15.532136795927812,29,0,1,0,1,0,0,2,5.1,8.8,0.8,8.3,1,2.9,0.0,2.0,0.0,5.0,4.0,0.0,36200.0,5.0,7.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,35.7
STU_00003,0,CSE,3,1,3.544,0.3128659061486827,19,0,3,0,0,0,0,2,5.1,8.8,0.8,8.3,1,3.0,1.0,4.0,1.0,6.0,5.0,1.0,51700.0,6.1,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Female,0,1,35.7
STU_00004,0,ECE,3,1,1.8287,11.874115659028693,27,0,4,0,1,0,0,2,5.3,10.0,2.0,6.3,1,2.8,0.0,2.0,0.0,5.0,4.0,0.0,31000.0,5.0,7.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Female,0,1,37.1
STU_00005,0,Mechanical,5,3,6.6414,13.570946828363212,3,0,2,0,0,0,0,2,7.7,9.8,4.5,1.3,2,3.0,1.0,4.0,1.0,6.0,5.1,1.0,56000.0,6.1,8.0,1,Computer Science,Computer Graphics,Game Developer,Game Development,1.1,2.1,2.6,Female,1,1,53.9
STU_00006,1,Mechanical,8,2,3.9876,12.429288453135692,21,1,3,0,0,1,0,1,6.1,9.7,2.8,2.5,2,3.0,1.0,3.0,1.0,6.0,5.0,1.0,40200.0,6.0,8.1,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,42.7
STU_00007,1,ECE,5,4,8.5385,5.053260043425647,1,0,1,0,0,1,0,2,8.3,5.5,1.4,5.2,3,3.5,3.0,7.0,3.0,9.0,8.0,3.0,94600.0,8.0,6.0,2,Computer Science,Cybersecurity,Information Security Analyst,Network Security,2.0,1.5,3.0,Male,1,1,58.1
STU_00008,1,ECE,7,1,2.4137,12.831593624867883,29,0,4,0,0,1,0,1,6.0,6.8,0.3,9.4,2,3.0,1.0,3.0,1.0,5.9,5.1,1.0,50000.0,5.9,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,42.0
STU_00009,1,IT,2,2,4.7484,6.083105089709302,15,0,3,1,0,0,0,3,6.0,6.8,6.0,2.7,2,3.0,1.0,3.0,1.0,6.1,5.0,1.0,45700.0,6.0,7.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,42.0
STU_00010,0,IT,1,1,1.2344,5.413492119305787,24,0,3,0,0,0,0,2,5.5,6.7,5.2,4.8,1,3.0,1.0,3.0,1.0,6.0,5.0,1.0,53600.0,6.1,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Female,0,1,38.5
STU_00011,0,CSE,7,1,2.1028,1.2707144484783717,22,0,3,0,1,0,0,4,6.7,6.0,0.4,7.5,2,2.9,1.0,3.0,1.0,6.0,5.0,1.0,43400.0,6.0,8.1,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Female,0,1,46.9
STU_00012,1,IT,5,2,4.77,2.606814471381438,17,0,3,1,0,0,1,2,6.7,5.6,2.5,9.1,3,3.0,1.0,4.0,1.0,6.0,5.0,1.0,52700.0,6.1,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,46.9
STU_00013,1,CSE,7,1,2.2448,2.4610424718064983,25,0,1,1,1,1,0,2,6.1,5.7,1.1,9.3,3,3.0,1.0,3.0,1.0,6.0,5.0,1.0,53400.0,5.9,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,42.7
STU_00014,1,Mechanical,7,1,1.8608,8.603518168886264,25,0,2,1,0,1,1,3,5.5,8.9,1.0,5.1,1,3.0,1.0,3.0,1.0,6.1,5.0,1.0,48800.0,6.0,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,38.5
STU_00015,1,ECE,6,2,4.3019,8.448915800617582,20,1,2,1,0,0,0,2,5.2,9.8,3.0,4.6,1,3.0,1.0,3.0,1.0,6.0,5.0,1.0,54000.0,6.0,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,36.4
STU_00016,0,IT,3,2,4.4575,11.286021293396605,16,0,1,1,0,1,0,2,7.0,7.1,5.8,1.4,2,2.8,0.0,2.0,0.0,5.0,4.1,0.0,31500.0,5.0,7.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Female,0,1,49.0
STU_00017,0,IT,6,1,3.4574,6.664834811014552,20,1,2,1,0,0,1,2,6.1,5.7,1.1,9.3,3,3.0,1.0,3.0,1.0,6.1,5.0,1.0,50600.0,6.0,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Female,0,1,42.7
STU_00018,0,ECE,6,2,4.0525,10.596677779241404,12,0,1,0,0,0,1,0,6.7,6.0,0.4,7.5,2,2.9,0.0,2.0,0.0,6.0,5.0,0.0,33300.0,5.0,7.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Female,0,1,46.9
STU_00019,0,ECE,1,3,7.0052,13.733008467080746,6,0,2,1,1,0,0,3,6.3,5.2,6.0,3.3,3,3.0,1.0,3.0,1.0,6.0,5.1,1.0,48600.0,6.0,8.0,1,Computer Science,Database Management,Database Administrator,SQL Query Optimization,2.1,1.0,2.7,Female,1,1,44.1
STU_00020,1,ECE,5,1,2.5523,0.6004045143467263,26,0,4,1,1,1,0,1,6.7,5.6,2.5,9.1,3,3.0,1.0,3.0,1.0,6.0,5.0,1.0,50200.0,6.0,8.0,1,Unknown,Unknown,Unknown,Unknown,1.8,2.1,2.7,Male,0,1,46.9
