student_id,gender,department,semester,gpa_band,ds1_gpa,ds1_studytimeweekly,ds1_absences,ds1_tutoring,ds1_parentalsupport,ds1_extracurricular,ds1_sports,ds1_music,ds1_volunteering,ds1_parentaleducation,ds2_study_hours_per_day,ds2_sleep_hours_per_day,ds2_social_hours_per_day,ds2_physical_activity_hours_per_day,ds2_extracurricular_hours_per_day,ds2_stress_level,ds4_university_gpa,ds4_field_of_study,ds4_internships_completed,ds4_projects_completed,ds4_certifications,ds4_soft_skills_score,ds4_networking_score,ds4_job_offers,ds4_starting_salary,ds4_career_satisfaction,ds4_work_life_balance,ds4_current_job_level,ds5_major,ds5_interested_domain,ds5_future_career,ds5_projects,ds5_python,ds5_sql,ds5_java
STU_00001,0,CSE,4,low,1.86827692299816,3.290507447856248,12,0,1,1,0,1,0,3,5.1,7.1,3.4,5.6,2.8,Low,2.9,Psychology,1,3,1,6,5,1,44000,6,8,Entry,,,,,,,
STU_00002,1,IT,8,very_low,0.5847407288696445,15.532136795927812,29,0,1,0,1,0,0,2,5.1,8.8,0.8,8.3,1.0,Low,2.9,Arts,0,2,0,5,4,0,38000,5,7,Entry,,,,,,,
STU_00003,0,CSE,3,very_low,1.417604009607429,0.3128659061486827,19,0,3,0,0,0,0,2,5.1,8.8,0.8,8.3,1.0,Low,3.0,Business,1,4,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00004,0,ECE,3,very_low,0.731486867136845,11.874115659028693,27,0,4,0,1,0,0,2,5.3,10.0,2.0,6.3,0.4,Low,2.8,Arts,0,2,0,5,4,0,31000,5,7,Entry,,,,,,,
STU_00005,0,Mechanical,5,medium,2.6565407804958623,13.570946828363212,3,0,2,0,0,0,0,2,7.7,9.8,4.5,1.3,0.7,Moderate,3.0,Business,1,4,1,6,5,1,56000,6,8,Entry,Computer Science,Computer Graphics,Game Developer,Game Development,Weak,Average,Strong
STU_00006,1,Mechanical,8,low,1.5950547587554351,12.429288453135692,21,1,3,0,0,1,0,1,6.1,9.7,2.8,2.5,2.9,Moderate,3.0,Marketing,1,3,1,6,5,1,40000,6,8,Entry,,,,,,,
STU_00007,1,ECE,5,high,3.4154133242434344,5.053260043425647,1,0,1,0,0,1,0,2,8.3,5.5,1.4,5.2,3.6,High,3.5,Psychology,3,7,3,9,8,3,94000,8,6,Mid,Computer Science,Cybersecurity,Information Security Analyst,Network Security,Average,Weak,Strong
STU_00008,1,ECE,7,very_low,0.9654824453045304,12.831593624867883,29,0,4,0,0,1,0,1,6.0,6.8,0.3,9.4,1.5,Moderate,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00009,1,IT,2,low,1.899340250146643,6.083105089709302,15,0,3,1,0,0,0,3,6.0,6.8,6.0,2.7,2.5,Moderate,3.0,Psychology,1,3,1,6,5,1,46000,6,7,Entry,,,,,,,
STU_00010,0,IT,1,very_low,0.4937411351889655,5.413492119305787,24,0,3,0,0,0,0,2,5.5,6.7,5.2,4.8,1.8,Low,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00011,0,CSE,7,very_low,0.8411087173537893,1.2707144484783717,22,0,3,0,1,0,0,4,6.7,6.0,0.4,7.5,3.4,Moderate,2.9,Psychology,1,3,1,6,5,1,44000,6,8,Entry,,,,,,,
STU_00012,1,IT,5,low,1.9079839135479155,2.606814471381438,17,0,3,1,0,0,1,2,6.7,5.6,2.5,9.1,0.1,High,3.0,Business,1,4,1,6,5,1,52000,6,8,Entry,,,,,,,
STU_00013,1,CSE,7,very_low,0.8979380920800135,2.4610424718064983,25,0,1,1,1,1,0,2,6.1,5.7,1.1,9.3,1.8,High,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00014,1,Mechanical,7,very_low,0.7443222999212357,8.603518168886264,25,0,2,1,0,1,1,3,5.5,8.9,1.0,5.1,3.5,Low,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00015,1,ECE,6,low,1.7207596503292208,8.448915800617582,20,1,2,1,0,0,0,2,5.2,9.8,3.0,4.6,1.4,Low,3.0,Arts,1,3,1,6,5,1,54000,6,8,Entry,,,,,,,
STU_00016,0,IT,3,low,1.783001895562732,11.286021293396605,16,0,1,1,0,1,0,2,7.0,7.1,5.8,1.4,2.7,Moderate,2.8,Arts,0,2,0,5,4,0,32000,5,7,Entry,,,,,,,
STU_00017,0,IT,6,very_low,1.382935704905427,6.664834811014552,20,1,2,1,0,0,1,2,6.1,5.7,1.1,9.3,1.8,High,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00018,0,ECE,6,low,1.6210121147431664,10.596677779241404,12,0,1,0,0,0,1,0,6.7,6.0,0.4,7.5,3.4,Moderate,2.9,Arts,0,2,0,6,5,0,34000,5,7,Entry,,,,,,,
STU_00019,0,ECE,1,medium,2.8020738343659453,13.733008467080746,6,0,2,1,1,0,0,3,6.3,5.2,6.0,3.3,3.2,High,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,Computer Science,Database Management,Database Administrator,SQL Query Optimization,Average,Weak,Strong
STU_00020,1,ECE,5,very_low,1.020926365102642,0.6004045143467263,26,0,4,1,1,1,0,1,6.7,5.6,2.5,9.1,0.1,High,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00021,0,CSE,7,medium,2.9869427371126283,17.948381001563472,6,0,2,0,0,1,1,1,6.3,7.4,0.3,8.6,1.4,Moderate,2.9,Business,1,4,1,6,5,1,48000,6,8,Entry,Computer Science,Web Development,Web Developer,E-commerce Website,Weak,Strong,Strong
STU_00022,1,CSE,1,low,2.1317372971872284,18.079061303797783,18,1,1,1,1,0,0,3,5.9,6.3,1.4,7.0,3.4,Low,2.8,Arts,0,2,0,5,4,0,31000,5,7,Entry,,,,,,,
STU_00023,0,IT,5,very_low,1.0506689803906937,17.314544742135872,29,0,4,0,1,0,0,2,5.3,9.6,0.6,6.5,2.0,Low,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00024,1,CSE,3,very_low,0.8181261027428247,15.827054473046688,28,0,1,1,1,0,0,2,5.8,7.0,0.3,9.5,1.4,Low,3.0,Arts,1,3,1,6,5,1,50000,6,8,Entry,,,,,,,
STU_00025,1,Mechanical,4,high,3.088512305616677,17.415943446762263,10,1,4,0,1,0,0,0,7.6,5.5,3.9,5.1,1.9,High,3.5,Psychology,3,7,3,8,7,3,88000,8,7,Mid,Computer Science,Human-Computer Interaction,UX Designer,User Experience Researcher,Weak,Average,Strong
STU_00026,1,CSE,3,very_low,0.9231815615047178,3.5931857805982403,23,0,2,1,0,0,1,2,6.2,6.1,0.4,9.8,1.5,Moderate,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00027,1,Mechanical,8,very_low,1.1158787303056936,17.248682602823138,26,1,3,1,0,0,0,1,6.8,8.9,4.0,1.3,3.0,Moderate,2.9,Arts,0,2,0,5,4,0,38000,5,7,Entry,,,,,,,
STU_00028,1,IT,1,very_low,1.3276664298868446,3.283699281127175,18,0,2,0,0,0,0,1,6.0,6.8,6.0,2.7,2.5,Moderate,3.0,Psychology,1,3,1,6,5,1,48000,6,8,Entry,,,,,,,
STU_00029,1,CSE,2,medium,2.81858182437894,9.14047904385251,5,1,3,0,0,0,0,2,5.9,6.7,1.3,7.6,2.5,Low,3.0,Business,1,4,1,6,5,1,52000,6,8,Entry,Computer Science,Software Development,Embedded Software Engineer,Embedded Systems,Weak,Strong,Average
